ID;aesthetic_score
0419864;2
0839536;86
0366019;71
0532786;45
0848800;60
0024865;29
0789129;2
0838399;43
0436498;37
0004643;17
0635313;68
0060921;94
0312073;20
0305542;39
0034095;22
0617329;1
0647497;62
0314836;4
0318776;12
0298176;68
0784192;25
0205040;60
0691952;91
0885877;1
0460229;1
0229531;18
0839803;56
0571398;76
0948279;1
0957517;52
0430243;51
0806366;41
0151043;1
0716901;31
0857155;63
0039305;34
0164463;15
0947074;96
0727031;35
0913140;62
0892610;63
0476840;19
0766605;16
0046423;5
0124678;12
0039302;5
0763199;90
0412998;69
0804590;32
0171447;100
0426884;60
0915515;6
0490052;35
0678588;10
0390544;36
0628406;54
0120750;42
0624871;84
0052583;90
0674804;68
0588339;24
0086338;89
0066770;12
0845768;78
0279439;36
0178581;40
0518203;45
0360894;28
0682127;8
0356780;7
0581528;51
0039932;18
0019502;87
0025689;36
0612608;48
0011593;23
0026122;48
0042009;10
0165198;65
0104756;35
0933847;81
0146738;44
0636838;72
0594516;79
0896978;69
0641836;16
0084542;67
0852744;67
0901224;33
0006595;43
0894322;65
0872707;26
0704893;55
0383404;13
0173025;38
0093631;6
0926868;100
0502907;76
0895631;45
0749900;100
0070092;19
0192697;33
0881367;81
0834606;22
0732876;53
0413323;11
0022508;56
0829047;33
0727195;75
0505678;54
0504469;61
0065950;33
0612614;40
0292860;57
0659639;23
0067087;1
0801871;94
0824294;66
0761489;31
0582301;1
0112010;35
0136394;35
0186154;1
0652551;22
0254136;1
0322990;53
0851289;45
0935661;35
0215696;20
0011389;77
0739820;33
0524043;41
0324582;27
0189045;48
0634444;56
0448813;69
0949430;17
0083697;60
0234320;1
0453148;100
0548291;1
0240356;33
0311487;28
0696145;41
0913122;51
0412364;37
0052041;38
0115152;93
0408426;48
0944431;1
0593388;59
0438107;33
0132071;76
0592780;28
0927428;41
0386785;51
0892014;31
0851429;67
0205627;28
0095631;13
0239278;52
0942493;7
0141593;62
0051152;26
0648701;1
0887032;53
0021387;1
0482060;30
0044189;76
0762461;15
0811013;54
0202637;8
0157629;62
0277005;55
0661395;48
0605273;54
0028554;2
0086478;24
0343207;74
0103155;64
0170342;15
0730041;42
0242905;65
0109796;29
0527974;77
0018062;71
0829162;47
0940892;34
0266869;74
0692444;38
0864067;12
0788201;54
0126633;63
0314491;30
0004225;33
0809956;19
0542865;30
0141627;29
0782336;31
0950117;30
0388692;49
0349504;2
0939818;66
0669713;23
0406158;47
0643708;35
0660753;81
0412787;1
0034771;26
0095797;29
0750760;40
0554354;53
0292508;19
0628236;1
0001744;100
0332157;1
